SOURCE_KEY,GAP_MONTHS,LAST_CLEANING,CLEANING_REQUIRED
bvBOhCH3iADSZry,6,2023-12-05,Nao
McdE0feGgRqW7Ca,6,2022-05-05,Sim
VHMLBKoKgIrUVDU,6,2022-05-05,Sim
uHbuxQJl8lW7ozc,6,2022-05-05,Sim
sjndEbLyjtCKgGv,6,2022-05-05,Sim
rGa61gmuvPhdLxV,6,2022-05-05,Sim
adLQvlD726eNBSB,6,2022-05-05,Sim
3PZuoBAID5Wc2HD,6,2022-05-05,Sim
pkci93gMrogZuBj,6,2022-05-05,Sim
WRmjgnKYAwPKWDb,6,2022-05-05,Sim
zBIq5rxdHJRwDNY,6,2022-05-05,Sim
ZnxXDlPa8U1GXgE,6,2022-05-05,Sim
wCURE6d3bPkepu2,6,2022-05-05,Sim
ZoEaEvLYb1n2sOq,6,2022-05-05,Sim
iCRJl6heRkivqQ3,6,2022-05-05,Sim
ih0vzX44oOqAx2f,6,2022-05-05,Sim
zVJPv84UY57bAof,6,2023-07-14,Sim
7JYdWkrLSPkdwr4,6,2023-09-12,Nao
1BY6WEcLGh8j5v7,6,2023-09-27,Nao
1IF53ai7Xc0U56Y,6,2023-11-26,Nao
z9Y9gH1T5YWrNuG,6,2023-11-26,Nao
YxYtjZvoooNbGkE,6,2023-11-26,Nao
