SOURCE_KEY,GAP_MONTHS,LAST_MAINTENANCE,MAINTENANCE_REQUIRED,MOTIVE
4UPUqMRk7TRMgml,6,2023-11-26,Não,
81aHJ1q11NBPMrL,6,2023-11-26,Não,
9kRcWv60rDACzjR,6,2020-05-15,Sim,Preventiva
Et9kgGMDl729KT4,6,2020-05-15,Sim,Preventiva
IQ2d7wF4YD8zU1Q,6,2020-05-15,Sim,Preventiva
LYwnQax7tkwH5Cb,6,2020-05-15,Sim,Preventiva
LlT2YUhhzqhg5Sw,6,2020-05-15,Sim,Preventiva
Mx2yZCDsyf6DPfv,6,2020-05-15,Sim,Preventiva
NgDl19wMapZy17u,6,2020-05-15,Sim,Preventiva
PeE6FRyGXUgsRhN,6,2020-05-15,Sim,Preventiva
Qf4GUc1pJu5T6c6,6,2020-05-15,Sim,Preventiva
Quc1TzYxW2pYoWX,6,2020-05-15,Sim,Preventiva
V94E5Ben1TlhnDV,6,2020-05-15,Sim,Preventiva
WcxssY2VbP4hApt,6,2020-05-15,Sim,Preventiva
mqwcsP2rE7J0TFp,6,2020-05-15,Sim,Preventiva
oZ35aAeoifZaQzV,6,2020-05-15,Sim,Preventiva
oZZkBaNadn6DNKz,6,2020-05-15,Sim,Preventiva
q49J1IKaHRwDQnt,6,2020-05-15,Sim,Preventiva
rrq4fwE8jgrTyWY,6,2020-05-15,Sim,Preventiva
vOuJvMaM2sgwLmb,6,2020-05-15,Sim,Preventiva
xMbIugepa2P7lBB,6,2020-05-15,Sim,Preventiva
xoJJ8DcxJEcupym,6,2023-09-27,Não,
